quality_gate,confluence_gate,is_baseline,total_signals,executed_trades,rejected_trades,win_rate,loss_rate,average_rr,average_holding_time_sec,profit_factor,gross_profit,gross_loss,net_profit,expectancy,maximum_drawdown_pct,recovery_factor,sharpe_ratio,average_spread,average_slippage
80,80,True,109,22,87,0.9091,0.0455,2.0028,2822.7,42.5111,4512.3609,106.1455,4406.2154,195.457723,15.5775,282.8577,11.3193,0.3,0.15
80,75,False,109,23,86,0.913,0.0435,2.0112,2739.1,44.5803,4731.9979,106.1455,4625.8524,196.508996,15.5775,296.9573,11.8695,0.3,0.15
80,70,False,109,31,78,0.8065,0.0645,1.7441,6358.1,26.4951,5618.7472,212.0677,5406.6795,160.727229,15.5775,347.0826,9.177,0.3,0.15
80,65,False,109,31,78,0.8065,0.0645,1.7441,6358.1,26.4951,5618.7472,212.0677,5406.6795,160.727229,15.5775,347.0826,9.177,0.3,0.15
80,60,False,109,31,78,0.8065,0.0645,1.7441,6358.1,26.4951,5618.7472,212.0677,5406.6795,160.727229,15.5775,347.0826,9.177,0.3,0.15
75,80,False,109,22,87,0.9091,0.0455,2.0028,2822.7,42.5111,4512.3609,106.1455,4406.2154,195.457723,15.5775,282.8577,11.3193,0.3,0.15
75,75,False,109,24,85,0.9167,0.0417,2.0202,2662.5,46.6769,4954.539,106.1455,4848.3935,197.593667,15.5775,311.2434,12.4225,0.3,0.15
75,70,False,109,36,73,0.8056,0.0556,1.7503,6775.0,30.7123,6513.096,212.0677,6301.0283,160.30164,15.5775,404.4955,10.1258,0.3,0.15
75,65,False,109,36,73,0.8056,0.0556,1.7503,6775.0,30.7123,6513.096,212.0677,6301.0283,160.30164,15.5775,404.4955,10.1258,0.3,0.15
75,60,False,109,36,73,0.8056,0.0556,1.7503,6775.0,30.7123,6513.096,212.0677,6301.0283,160.30164,15.5775,404.4955,10.1258,0.3,0.15
70,80,False,109,22,87,0.9091,0.0455,2.0028,2822.7,42.5111,4512.3609,106.1455,4406.2154,195.457723,15.5775,282.8577,11.3193,0.3,0.15
70,75,False,109,26,83,0.9231,0.0385,2.0314,2526.9,50.7596,5387.9081,106.1455,5281.7626,199.062196,15.5775,339.0636,13.5152,0.3,0.15
70,70,False,109,39,70,0.8205,0.0513,1.7824,6323.1,33.7797,7163.5907,212.0677,6951.523,164.650096,15.5775,446.2541,11.102,0.3,0.15
70,65,False,109,41,68,0.8293,0.0488,1.8012,6058.5,35.8227,7596.8323,212.0677,7384.7646,167.185252,15.5775,474.0661,11.752,0.3,0.15
70,60,False,109,41,68,0.8293,0.0488,1.8012,6058.5,35.8227,7596.8323,212.0677,7384.7646,167.185252,15.5775,474.0661,11.752,0.3,0.15
65,80,False,109,22,87,0.9091,0.0455,2.0028,2822.7,42.5111,4512.3609,106.1455,4406.2154,195.457723,15.5775,282.8577,11.3193,0.3,0.15
65,75,False,109,26,83,0.9231,0.0385,2.0314,2526.9,50.7596,5387.9081,106.1455,5281.7626,199.062196,15.5775,339.0636,13.5152,0.3,0.15
65,70,False,109,39,70,0.8205,0.0513,1.7824,6323.1,33.7797,7163.5907,212.0677,6951.523,164.650096,15.5775,446.2541,11.102,0.3,0.15
65,65,False,109,41,68,0.8293,0.0488,1.8012,6058.5,35.8227,7596.8323,212.0677,7384.7646,167.185252,15.5775,474.0661,11.752,0.3,0.15
65,60,False,109,41,68,0.8293,0.0488,1.8012,6058.5,35.8227,7596.8323,212.0677,7384.7646,167.185252,15.5775,474.0661,11.752,0.3,0.15
60,80,False,109,22,87,0.9091,0.0455,2.0028,2822.7,42.5111,4512.3609,106.1455,4406.2154,195.457723,15.5775,282.8577,11.3193,0.3,0.15
60,75,False,109,26,83,0.9231,0.0385,2.0314,2526.9,50.7596,5387.9081,106.1455,5281.7626,199.062196,15.5775,339.0636,13.5152,0.3,0.15
60,70,False,109,39,70,0.8205,0.0513,1.7824,6323.1,33.7797,7163.5907,212.0677,6951.523,164.650096,15.5775,446.2541,11.102,0.3,0.15
60,65,False,109,41,68,0.8293,0.0488,1.8012,6058.5,35.8227,7596.8323,212.0677,7384.7646,167.185252,15.5775,474.0661,11.752,0.3,0.15
60,60,False,109,41,68,0.8293,0.0488,1.8012,6058.5,35.8227,7596.8323,212.0677,7384.7646,167.185252,15.5775,474.0661,11.752,0.3,0.15
